Total TSPLIB instances detected: 228
#################  NN Test on TSPLIB_Survey (ICAM style)  #################
TSPLIB folder: /public/home/bayp/exp_survey_202509/0_data_survey/survey_bench_tsp
-----------------------------------------------------------------
[216/228] Instance: fl1400, dim: 1400, BKS: 20127, NN cost: 27447, GAP: 36.369%, time: 0.051s
[217/228] Instance: dkg813, dim: 813, BKS: 3199, NN cost: 3942, GAP: 23.226%, time: 0.022s
[218/228] Instance: rbv1583, dim: 1583, BKS: 5387, NN cost: 6662, GAP: 23.668%, time: 0.062s
[219/228] Instance: rbu737, dim: 737, BKS: 3314, NN cost: 4211, GAP: 27.067%, time: 0.019s
[220/228] Instance: ch130, dim: 130, BKS: 6110, NN cost: 7579, GAP: 24.043%, time: 0.002s
[221/228] Instance: dkf3954, dim: 3954, BKS: 12538, NN cost: 15621, GAP: 24.589%, time: 0.294s
[222/228] Instance: fry33203, dim: 33203, BKS: 97240, NN cost: 120126, GAP: 23.536%, time: 16.417s
[223/228] Instance: ics39603, dim: 39603, BKS: 106819, NN cost: 131000, GAP: 22.637%, time: 23.623s
[224/228] Instance: p654, dim: 654, BKS: 34643, NN cost: 43457, GAP: 25.442%, time: 0.016s
[225/228] Instance: u724, dim: 724, BKS: 41910, NN cost: 52943, GAP: 26.325%, time: 0.019s
[226/228] Instance: d1655, dim: 1655, BKS: 62128, NN cost: 74033, GAP: 19.162%, time: 0.066s
[227/228] Instance: ei8246, dim: 8246, BKS: 206171, NN cost: 257735, GAP: 25.010%, time: 1.144s
[228/228] Instance: bbz25234, dim: 25234, BKS: 69335, NN cost: 86909, GAP: 25.347%, time: 9.727s
-----------------------------------------------------------------
All instances found: 228, solved: 228
Total time: 1164.98s, avg time per solved instance: 5.11s
#################  Bucket Summary  #################
[0, 1000), number: 69, avg GAP: 25.291%, avg time: 0.007s
[1000, 10000), number: 109, avg GAP: 26.656%, avg time: 0.293s
[10000, 100000], number: 50, avg GAP: 25.006%, avg time: 22.595s
###################################  Overall Summary  ##########################################
All solved instances, number: 228, avg GAP: 25.881%, avg time: 5.097s
